,ids
8692,31652438
8693,32864860
8694,25786977
8695,35158630
8696,37517927
8697,40368744
8698,20773478
8699,25983598
8700,24672882
8701,14613106
8702,27490933
8703,32504441
8704,35420796
8705,38697599
8706,34175616
8707,16480895
8708,7174786
8709,22968963
8710,35420803
8711,9992834
8712,11860623
8713,22674065
8714,37911189
8715,39484056
8716,9632414
8717,27490977
8718,13925027
8719,20708005
8720,33782440
8721,36174506
8722,13761202
8723,25918132
8724,32471734
8725,15563455
8726,35388096
8727,35650243
8728,29391555
8729,16808649
8730,39811786
8731,8780493
8732,26835671
8733,29784793
8734,40925917
8735,36240095
8736,13531879
8737,30374645
8738,32897790
8739,24967940
8740,21330693
8741,25983750
8742,38861574
8743,34700042
8744,8485642
8745,36600606
8746,30014242
8747,40467237
8748,29129510
8749,33192745
8750,24476458
8751,39615283
8752,27491130
8753,21592893
8754,21134146
8755,29948742
8756,29817677
8757,24247126
8758,39418712
8759,30145370
8760,23919451
8761,25983838
8762,39025506
8763,35519334
8764,9993063
8765,23591783
8766,34143083
8767,22150002
8768,40893299
8769,38435712
8770,9960323
8771,40762247
8772,11139981
8773,38599576
8774,17759137
8775,39648177
8776,33520562
8777,24673203
8778,3570616
8779,818109
8780,35093438
8781,39779263
8782,36109247
8783,35158975
8784,25983938
8785,38894532
8786,15662022
8787,27622344
8788,40303561
8789,29457352
8790,38894537
8791,26901459
8792,14449619
8793,39058389
8794,34044886
8795,24017881
8796,24968154
8797,39779297
8798,25099240
8799,32570345
8800,2227179
8801,38206444
8802,20413421
8803,11107308
8804,39255026
8805,3898355
8806,35879927
8807,34339836
8808,39582718
8809,33717254
8810,31882247
8811,40467466
8812,16088081
8813,5733394
8814,25984019
8815,36240406
8816,33684515
8817,37551145
8818,40369194
8819,20053035
8820,27982893
8821,40303666
8822,40205362
8823,39943223
8824,6716477
8825,35650625
8826,18971737
8827,25230426
8828,28965978
8829,32668765
8830,37551201
8831,39124077
8832,12778606
8833,37092471
8834,39582842
8835,38599803
8836,29949051
8837,17366144
8838,30669952
8839,32046211
8840,38239364
8841,37125253
8842,37321865
8843,11205769
8844,33782922
8845,37878925
8846,25984142
8847,37977237
8848,3308694
8849,35454107
8850,38468765
8851,35945631
8852,39058595
8853,17923236
8854,32406694
8855,37715112
8856,12778664
8857,1113259
8858,17824940
8859,17267883
8860,40369329
8861,37354679
8862,39287996
8863,33160398
8864,29686993
8865,33160404
8866,1080532
8867,29949142
8868,38960343
8869,37747926
8870,33160412
8871,30506211
8872,21069027
8873,39582948
8874,37715174
8875,15858916
8876,8256750
8877,15629553
8878,25918709
8879,38403317
8880,39419126
8881,24149240
8882,23624953
8883,31915261
8884,18283775
8885,949514
8886,29031690
8887,40402187
8888,35847438
8889,39157011
8890,27426067
8891,37551383
8892,39845143
8893,40598809
8894,5602585
8895,20479262
8896,38075680
8897,6716705
8898,34897190
8899,37125424
8900,26705201
8901,18152764
8902,34340162
8903,39976268
8904,20086094
8905,36109646
8906,15072599
8907,28441945
8908,19365214
8909,1965410
8910,24018276
8911,29818213
8912,40402278
8913,9403751
8914,27721072
8915,22478199
8916,39058811
8917,19856765
8918,7241090
8919,261509
8920,29359494
8921,26639751
8922,9174414
8923,30539151
8924,34930062
8925,15662488
8926,25886109
8927,15072673
8928,29490593
8929,38927780
8930,40631718
8931,39484839
8932,30735784
8933,29949352
8934,35880364
8935,32734640
8936,35716535
8937,30506424
8938,37748170
8939,11697616
8940,24247761
8941,37879254
8942,14646743
8943,7896539
8944,29949413
8945,31718887
8946,20774377
8947,32177642
8948,32570860
8949,13139438
8950,17890798
8951,34995696
8952,33783280
8953,24870386
8954,32439790
8955,6782452
8956,33553909
8957,26738161
8958,38927855
8959,39845371
8960,39484923
8961,14089727
8962,39484928
8963,39484929
8964,31718914
8965,36240899
8966,6585861
8967,26770951
8968,23526921
8969,5406217
8970,27786767
8971,39321104
8972,29031953
8973,8027663
8974,18415126
8975,34045463
8976,40861207
8977,17956375
8978,19267102
8979,17071648
8980,33160748
8981,32210477
8982,17759790
8983,4881981
8984,34274882
8985,33422915
8986,10518084
8987,40730181
8988,15597127
8989,22216264
8990,2817608
8991,25591380
8992,38108758
8993,10059353
8994,35421787
8995,17464924
8996,32669282
8997,39485026
8998,40402532
8999,28933748
9000,17792628
9001,9993846
9002,33783417
9003,25886334
9004,24477313
9005,32865926
9006,6553226
9007,8355466
9008,39059092
9009,24247958
9010,32046743
9011,39550614
9012,8617633
9013,24575649
9014,37387941
9015,30441134
9016,39550648
9017,18611898
9018,15990458
9019,34307773
9020,37813951
9021,36667074
9022,39452355
9023,39943878
9024,39222987
9025,14450383
9026,40763088
9027,27131606
9028,36077272
9029,28540632
9030,34438873
9031,37945055
9032,22118123
9033,40697599
9034,39517953
9035,37748482
9036,26279683
9037,24313609
9038,36077322
9039,39485196
9040,15957773
9041,35258128
9042,39550739
9043,38043416
9044,19496735
9045,31358755
9046,30048036
9047,19332901
9048,36306728
9049,29458219
9050,37879599
9051,17170225
9052,36175666
9053,39550769
9054,6881079
9055,39386942
9056,35192640
9057,34602818
9058,22118215
9059,36306760
9060,26607433
9061,36732745
9062,39255883
9063,25362253
9064,29982543
9065,8224594
9066,27230037
9067,11698006
9068,38862679
9069,17465173
9070,40795993
9071,38829914
9072,23658333
9073,11370335
9074,20709222
9075,39550826
9076,26476402
9077,37945202
9078,29392758
9079,14745479
9080,12451721
9081,19857294
9082,6717327
9083,27426704
9084,5537682
9085,14090131
9086,35192725
9087,20381591
9088,34537370
9089,31195036
9090,12681123
9091,6782887
9092,23756712
9093,27459503
9094,29687729
9095,31358903
9096,25624505
9097,39550913
9098,27262925
9099,31326163
9100,31195091
9101,6750168
9102,7176158
9103,39256037
9104,35192809
9105,33914860
9106,39026670
9107,16121839
9108,25264110
9109,37912562
